Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
do~B@GAEoHheDdhbiMjBBbbNP@	C(=O)(c1ccc(N)cc1)OC[C@H](O)CO	Resultados/ZINC000000000425_rank1.pdb	211.216	-0.1925	-1.497	5	3	162.25	0.3976	92.78	-0.33836	0.73333	0.5187	0.53051	5	
f`qaB@IZADILrsZvsbcPDEUUEBd@@	c1(ccc(Cl)c2c1CCC[C@@H]2N(C)C)OC	Resultados/ZINC000000000426_rank1.pdb	239.745	2.8466	-2.544	2	0	186.04	0.072834	12.47	-0.60453	0.5	0.24536	0.81951	2	
fdyAb@B^BBHrJJJIIJ[RleitDA@TMA@T@@	c1(ccc2ccccc2c1Cl)O[C@H](C)C(=O)OC	Resultados/ZINC000000000428_rank1.pdb	264.707	3.3072	-4.257	3	0	198.05	0.16683	35.53	-4.4231	0.61111	0.2462	0.72502	4	
fj}Pa@A^ldDPVHrJJIJEQQQ[IgG^cf@`jBhDbDTRh@	O=C1Nc2ccc(Cl)cc2[C@@H](N[C@H]1O)c1ccccc1Cl	Resultados/ZINC000000000431_rank1.pdb	323.178	2.7516	-4.226	4	3	222.38	0.22061	61.36	2.1456	0.42857	0.25115	0.86525	1	
ffcPa@A^ldDQVHrJJIJEQQQYILx{tRpDEPU@qDHiEP@	CN1C(=O)[C@@H](N[C@@H](c2cc(Cl)ccc12)c1ccccc1Cl)O	Resultados/ZINC000000000432_rank1.pdb	337.205	3.1099	-4.202	4	2	233.48	0.17625	52.57	3.7111	0.40909	0.23012	0.88404	1	
do|L@@V|dTRbbbZDzBHjJHi@@	Cc1cc(C)c(c(C)c1)OC[C@H](O)CO	Resultados/ZINC000000000437_rank1.pdb	210.272	1.5335	-2.33	3	2	172.76	0.20954	49.69	-1.246	0.66667	0.56119	0.59413	4	
fbu``@I@PdrsLlKksdmPUATUQXINQr@@	[C@@H]1(CC[C@H](C)C[C@H]1OC(=O)c1ccccc1N)C(C)C	Resultados/ZINC000000000447_rank1.pdb	275.39	3.6623	-4.157	3	1	224.09	0.17096	52.32	-22.277	0.5	0.32971	0.69754	4	
f`a`P@L@PpRSNvlrn|uUTA@Pi@@	C(Oc1c(C)cccc1)[C@H](O)COC(=O)N	Resultados/ZINC000000000451_rank1.pdb	225.243	0.7078	-2.315	5	2	178.16	0.34469	81.78	1.3506	0.6875	0.49495	0.5406	6	
diFHBJBirQPjRfj`@	C(C(=C)OC)[N+](C)(C)C	Resultados/ZINC000000000457_rank1.pdb	130.21	-2.137	-0.11	2	0	114.93	0.020708	9.23	-6.015	0.66667	0.74768	0.48648	3	
fdiAP@@RMzJSLkvzvISPPQUUDGH@	c1(ccc(c(c1)OC)OC[C@H](O)CO)C(=O)CC	Resultados/ZINC000000000458_rank1.pdb	254.281	0.7574	-2.27	5	2	202.01	0.29325	75.99	-0.063869	0.66667	0.44704	0.69203	7	
