Structure of smiles [idcode]	smiles	name	Total Molweight	cLogP	cLogS	H-Acceptors	H-Donors	Total Surface Area	Relative PSA	Polar Surface Area	Druglikeness	Shape Index	Molecular Flexibility	Molecular Complexity	Rotatable Bonds	
ffsQ@DFN@r\bbbbbTRbrNJgVcYH\uAPEPEDeEHKBXkRJ@@	[C@@H](c1ccnc2ccccc12)([C@@H]1[N@@H+]2C[C@H]([C@@H](CC2)C1)C=C)O	LocE_ZINC000000001153_rank1.pdb	295.405	0.5707	-3.079	3	2	239.89	0.17366	37.56	-3.3772	0.54545	0.18923	0.83968	3	
foAaB@MJAHYEDeBeLiQegP@SMTPH\`	C(=C\c1cccc(F)c1)/C(=O)NC1CC1	LocE_ZINC000000001156_rank1.pdb	205.231	2.0581	-3.069	2	1	161.84	0.15138	29.1	-0.44202	0.66667	0.35169	0.56446	3	
fhq`P@D@TYrSZrlj|mML@QUPBFH	c1(cc(cc(c1OC)OC)/C=C/C(=O)N)OC	LocE_ZINC000000001157_rank1.pdb	237.254	0.8661	-2.129	5	1	192.81	0.30242	70.78	-1.0659	0.58824	0.33642	0.6715	5	
fdea@@D@rJZJJJIQXjlXOhmT@PP@`@@	[C@H]1(c2ccccc2C=Cc2ccccc12)C(=O)N	LocE_ZINC000000001162_rank1.pdb	235.285	2.0749	-3.869	2	1	184.79	0.1532	43.09	1.2716	0.44444	0.1957	0.75107	1	
fncpa@NJSHpH`L`drnmmsMmQfRp@TtpQAP@@@	C(=O)(NC(=O)Nc1ccc(Cl)cc1)c1c(cccc1F)N(C)C	LocE_ZINC000000001167_rank1.pdb	335.765	3.196	-4.675	5	2	248.03	0.21187	61.44	1.1765	0.56522	0.47457	0.75832	3	
foAqB@NJtxDPdrnsNtYht@ESTd@@	CN1C(=N)N(CC1=O)c1ccc(Cl)cc1	LocE_ZINC000000001170_rank1.pdb	223.662	1.0923	-1.795	4	1	159.86	0.22357	47.4	4.4396	0.6	0.41614	0.7268	1	
fdy`a@EBdCDcDYEDeLhUDejL|F@Bf`@`@@	O=C(Nc1ccc(Cl)cc1)c1cc(Br)ccc1O	LocE_ZINC000000001178_rank1.pdb	326.576	3.7926	-4.402	3	2	202.63	0.18556	49.33	-0.97707	0.61111	0.47361	0.68976	2	
ffcqa@G^sIMPQAHcHhhlmDedhhbsfcYKA@TuMSRLBEh	c1(ccc(o1)c1ccc(Cl)c(Cl)c1)/C=N/N1CC(=O)NC1=O	LocE_ZINC000000001181_rank1.pdb	338.149	2.9462	-5.285	6	1	235.83	0.28287	74.91	8.0499	0.63636	0.36142	0.77625	3	
fjmaBD@bADAeIe]iU_ehrwh@JjjjjH@@	C1(CCCCC1)(c1ccc(Cl)cc1)OCC[NH+](CC)CC	LocE_ZINC000000001185_rank1.pdb	310.887	2.964	-3.768	2	1	268.29	0.10284	13.67	-6.9763	0.57143	0.59082	0.70697	7	
ff}QB`MNlBHEHRdEREXcHhhdiMULhdlsfRpDEUM@A@@@	O=C(Nc1ccc(Cl)cc1)Nc1ccc(Cl)c(c1)C(F)(F)F	LocE_ZINC000000001188_rank1.pdb	349.138	4.8613	-5.894	3	2	233.99	0.15368	41.13	-7.0725	0.59091	0.51436	0.69426	3	
fhq`b@IV\BHrJIKIRHsJcH@Jjfh@@	C(C)(C)(NC(=O)OCC)Cc1ccc(Cl)cc1	LocE_ZINC000000001189_rank1.pdb	255.744	3.4582	-3.724	3	1	202.6	0.17029	38.33	-13.33	0.70588	0.61081	0.60487	5	
fj}Qa@IVxIpH``QdTTRdRjRtRSEFmdlDBqTuUE@@@	c1(cc2c(cc1Cl)CN(C2=O)C1CCCCC1)S(=O)(=O)N	LocE_ZINC000000001199_rank1.pdb	328.819	1.7489	-3.705	5	1	221.89	0.27239	88.85	-0.54348	0.52381	0.29388	0.84822	2	
dcnH`NtHaIfV]XYV@@@`@@	c1(ccc(Cl)c2cccnc12)O	LocE_ZINC000000001209_rank1.pdb	179.606	2.2359	-2.762	2	1	128.39	0.18748	33.12	-1.709	0.5	0	0.76245	0	
ffka`DB`xXleDIBPdHdIBHbP`xRdoVbENRtEPUTUUPtqDhfIRSBh@	c1(ccc2c3c1O[C@@H]1[C@@H](C=C[C@@H]4[C@@H](C2)[N@@H+](C)CC[C@]314)O)OC	LocE_ZINC000000001213_rank1.pdb	300.377	-0.5773	-2.861	4	2	222.66	0.22766	43.13	0.13108	0.45455	0.148	1.037	1	
fb}AP@@HeGNQQJJIQKIIVgIJlGrVi``@BJ`@@	O=c1oc2cc(ccc2c2oc3cc(ccc3c12)O)O	LocE_ZINC000000001219_rank1.pdb	268.224	2.8407	-4.345	5	2	184.26	0.34381	79.9	-0.4041	0.55	0.012597	0.90677	0	
dcND@N@dfY{UnZejj@@	c1(c(c(=O)ccn1CC)O)CC	LocE_ZINC000000001220_rank1.pdb	167.207	0.784	-1.62	3	1	135.86	0.21853	40.54	3.4847	0.58333	0.43144	0.69315	2	
fb}a@DO@}NQQISJQIXiRcIF]yNX@JjjjhjIrRaey@@	C[C@@H]1[C@H]2Cc3ccc(cc3[C@]1(C)CC[N@@H+]2CC1CC1)O	LocE_ZINC000000001227_rank1.pdb	272.41	1.1246	-3.392	2	2	218.44	0.1405	24.67	-0.027772	0.55	0.29359	0.88608	2	
fhihB@NJtXHHcHhdlhhiMZLMz@BijjJGh@	CC1(C)N[C@@H](N)NC(=N)N1c1ccc(Cl)cc1	LocE_ZINC000000001233_rank1.pdb	253.736	1.929	-2.251	5	4	184.66	0.31052	77.17	3.308	0.58824	0.4554	0.75181	1	
difDBBABeInmxVjj`@	C1(CCCC1)([NH3+])C(=O)O	LocE_ZINC000000001234_rank1.pdb	130.166	-3.689	-1.141	3	2	97.28	0.41756	64.94	-5.7133	0.55556	0.41948	0.72259	1	
fdea@@D@rJZJJJIQHz\XOhmT@DDA@@@	C1(c2ccccc2CCc2ccccc12)C(=O)N	LocE_ZINC000000001236_rank1.pdb	237.301	2.1271	-3.371	2	1	185.81	0.15236	43.09	-0.022765	0.44444	0.17164	0.75181	1	
foAPB@LD@DYHhdmMDbRakTsPDE@HHP	Cc1ccc(c(C)c1)/N=c/1\sccn1C	LocE_ZINC000000001237_rank1.pdb	218.323	2.4301	-3.279	2	0	173.8	0.18728	40.9	1.2694	0.6	0.31047	0.63634	1	
dcm`@@pjZ\dTTRJe\nruUUT\`@	N[C@@H]1N=C(NC2CC2)N=C(N)N1	LocE_ZINC000000001239_rank1.pdb	168.203	-0.8628	-1.92	6	4	124.92	0.61223	100.82	1.5942	0.58333	0.48265	0.64169	1	
dcm`@@pjXTif_^neYZjVh@@	Cc1cc2nc(N)nc(N)n2n1	LocE_ZINC000000001242_rank1.pdb	164.172	-0.7791	-2.877	6	2	124.09	0.57539	95.12	2.9889	0.58333	0	0.80338	0	
fiw``@H@[dbTrRTRaRfbTnB\DZpXykRtuUUUUWUSAQRmOJLr`@	[C@@]1(CC[C@@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]12C)(C#C)O	LocE_ZINC000000001244_rank1.pdb	337.461	3.4638	-4.884	3	1	252.15	0.15142	46.26	2.0688	0.48	0.13099	0.96444	0	
ffcpA@F^BBHTDYEDeMDddhXmJ\lzNX@bjjjjbXF`@	N1(CCCCSc2ccc(Cl)cc12)C[C@H]1N(C=CN1)C(C)C	LocE_ZINC000000001250_rank1.pdb	337.918	3.5834	-4.583	3	1	256.05	0.14079	43.81	2.3292	0.45455	0.47094	0.77933	3	
fb}@`@@YrJJQIFYJYKDyIUgQRuUTu@AUBDPb@@	C[C@@]12CCC3=C(CCc4cc(ccc34)O)[C@H]1CCC2=O	LocE_ZINC000000001258_rank1.pdb	268.355	3.4266	-3.531	2	1	197.51	0.13235	37.3	-0.16798	0.55	0.10147	0.91574	0	
dk]DPFE]@H`HRenU{JxZfjef@@	c1(c2-c(css2)[nH]c1=O)NC(=O)C	LocE_ZINC000000001259_rank1.pdb	214.269	0.4085	-2.608	4	2	139.79	0.60076	108.8	0.59016	0.53846	0.30156	0.75032	1	
dmvD@BA\bbbbqXXBHh@@	Cc1ncc(c(C)c1O)CO	LocE_ZINC000000001264_rank1.pdb	153.18	0.4575	-1.121	3	2	123	0.3022	53.35	-1.934	0.63636	0.28347	0.7824	1	
dg^L@EACRYyWVFVh@JX@@	c1(ccc(cc1)OC(=O)C)NC(=O)C	LocE_ZINC000000001270_rank1.pdb	193.201	1.35	-2.258	4	1	154.74	0.30723	55.4	0.26801	0.71429	0.43781	0.53051	3	
f`aQa@INxJpH``QdTTRdUVfXjBAXih@@	c1(ccc(Cl)c(c1)S(=O)(=O)NC)C(=O)NC	LocE_ZINC000000001272_rank1.pdb	262.716	0.8298	-1.91	5	2	182.45	0.35374	83.65	2.2079	0.5625	0.4758	0.72323	2	
dknDpHJ`bDbLBLbfdLRVWZe`@`@@	Cc1ccc(cc1)S(=O)(=O)N(Cl)Cl	LocE_ZINC000000001279_rank1.pdb	240.11	-2.1756	-3.474	3	0	155.24	0.20697	45.76	-6.0886	0.61538	0.55706	0.62294	1	
dmtHPBBHfHRYfwXXHHh@@	Cc1cc(c(Cl)c(C)c1Cl)O	LocE_ZINC000000001280_rank1.pdb	191.057	3.2137	-3.48	1	1	134.97	0.097059	20.23	-2.0981	0.54545	0	0.78637	0	
fbu@`@@YRYWYeg_hrJX@JY``H@HDj`	C/C=C(\c1ccc(cc1)O)/C(=C/C)/c1ccc(cc1)O	LocE_ZINC000000001283_rank1.pdb	266.339	4.2726	-2.93	2	2	219.66	0.11928	40.46	-2.0008	0.6	0.55456	0.73114	3	
diF@PL@HPHRY[Vjj@@	N(CC)(CC)C(=S)SC	LocE_ZINC000000001289_rank1.pdb	163.308	1.6035	-1.848	1	0	138.3	0.35459	60.63	1.1722	0.66667	0.69887	0.54931	3	
fbu@`@@YRYWYeg_hrJX@Ij``H@Py@	C(=C(\c1ccc(cc1)O)/CC)(/c1ccc(cc1)O)\CC	LocE_ZINC000000001290_rank1.pdb	268.355	4.5248	-3.158	2	2	220.68	0.11872	40.46	-0.78736	0.6	0.47332	0.73114	4	
dg^H@DCHhhhddYimTE@P@@	N(C(=O)c1cccc(C)c1)(CC)CC	LocE_ZINC000000001291_rank1.pdb	191.273	2.5214	-2.203	2	0	165.61	0.10018	20.31	3.6887	0.57143	0.66855	0.55886	3	
fjmPR@OA`cIPAFRRFJIIKYIIJlYrt@@@UR`@@	S(=O)(=O)(c1ccc(cc1)NC=O)c1ccc(cc1)NC=O	LocE_ZINC000000001295_rank1.pdb	304.325	1.0306	-4.174	6	2	223.6	0.34696	100.72	0.43822	0.71429	0.54434	0.63297	4	
fns``DK@QZ\bbTbTRRRtQVLGvZmZjjjjjjj`@@	O=C(C1(CCCCC1)C1CCCCC1)OCC[NH+]1CCCCC1	LocE_ZINC000000001297_rank1.pdb	322.511	1.8716	-3.795	3	1	281.92	0.14412	30.74	1.1837	0.56522	0.53323	0.65205	6	
fdy@`@@QRYWYnuzL|F@BZ`@`ACd@	C/C(=C(/C)\c1ccc(cc1)O)/c1ccc(cc1)O	LocE_ZINC000000001306_rank1.pdb	240.301	3.616	-2.618	2	2	193.16	0.13564	40.46	-3.7978	0.66667	0.46222	0.67407	2	
deWDAHHPRISdfyeXVijd@@	Cc1ncc(n1C)N(=O)=O	LocE_ZINC000000001307_rank1.pdb	141.13	-0.3842	-0.707	5	0	109.41	0.44109	63.64	-1.2139	0.6	0.28035	0.73778	1	
fhiq@@DZBCHheEDeDceNmyj@@`B@@@	C(=O)(Nc1ccccc1N)c1ccc(cc1)N	LocE_ZINC000000001310_rank1.pdb	227.266	1.4525	-3.28	4	3	179.27	0.30702	81.14	0.70819	0.64706	0.40316	0.61292	2	
dclH`BCDRYfuvE]``@@@@	c1(ccc2ccccc2c1Br)O	LocE_ZINC000000001318_rank1.pdb	223.069	3.2335	-3.76	1	1	132.84	0.098615	20.23	-4.0621	0.58333	0	0.69573	0	
fhyA`@@BMdTTTTTTVoMJ|xKPAAPA@@@	O=C1c2c(cccc2Cc2cccc(c12)O)O	LocE_ZINC000000001322_rank1.pdb	226.23	2.844	-3.749	3	2	163.73	0.23966	57.53	-1.1842	0.47059	0.065545	0.7971	0	
fhq`b@LPP@HrRPqQIIITwej`hJH@@	S(=O)(=O)(c1ccc(C)cc1)N(CCC)CCC	LocE_ZINC000000001323_rank1.pdb	255.381	2.9435	-2.239	3	0	203.96	0.15753	45.76	-3.2026	0.58824	0.66448	0.626	5	
f`a@a@LV@DFBDigm[oejf`BIh@@	c1(cccc(c1)C(=O)SCC)C(=O)SCC	LocE_ZINC000000001324_rank1.pdb	254.373	2.3398	-4.72	2	0	195.78	0.31188	84.74	-0.16806	0.6875	0.52386	0.65788	6	
fhiQR@JLIIU``dDfYu[Yv\Lzejfjjh`ijFSd@	C[C@@H]1O[C@@H]([C@H]([C@H]1O)O)n1cc(F)c(=O)[nH]c1=O	LocE_ZINC000000001332_rank1.pdb	246.193	-1.4152	-1.611	7	3	159.78	0.48373	99.1	-2.7646	0.52941	0.39611	0.82043	1	
fhyq@@B\DAIfV]UudeZ|FBBaZeJ@@	Cc1ccc(c(c1)n1nc2ccccc2n1)O	LocE_ZINC000000001336_rank1.pdb	225.25	2.3341	-2.585	4	1	172.95	0.24232	50.94	2.1868	0.52941	0.35219	0.73783	1	
dmUD@DpJRY{eZfZ`ad	C(=O)(NC(=O)N)/C(=C\C)/CC	LocE_ZINC000000001340_rank1.pdb	156.184	0.8062	-1.702	4	2	131.97	0.40017	72.19	3.2792	0.63636	0.66819	0.6089	2	
defD@LADf^eZjj@@	C(C)(CC)(CC)OC(=O)N	LocE_ZINC000000001350_rank1.pdb	145.201	1.5613	-2.177	3	1	124.48	0.30776	52.32	-1.0348	0.6	0.74126	0.54931	4	
fi{``@L@PdrmLsJjo|Vy{T[UUT@U@DD@@@	C(c1ccccc1)(c1ccccc1)(CC)OC(=O)NC1CCCCC1	LocE_ZINC000000001358_rank1.pdb	337.461	4.925	-5.293	3	1	276.46	0.12479	38.33	-17.087	0.48	0.44916	0.68031	6	
fb}@`@@YrJJQIFYJYKDyIUgQRuUT@@ATBDPb@@	C[C@@]12CCc3c(ccc4cc(ccc34)O)[C@H]1CCC2=O	LocE_ZINC000000001364_rank1.pdb	266.339	4.2853	-4.731	2	1	195.17	0.13393	37.3	-0.41823	0.55	0.063641	0.87527	0	
fjcHB@AJSdDPdrmrlvjtyitRis@DMPTBaD@@	Clc1ccc2-n3c(CN=C(c2c1)c1ccccc1)nnc3	LocE_ZINC000000001370_rank1.pdb	294.744	2.3861	-6.268	4	0	218.15	0.18483	43.07	3.2434	0.47619	0.24483	0.85699	1	
fb}@`@@YrJJQIFYJYKDyIUgQRuUUU@AUADPbDeP@	C[C@@]12CC[C@H]3c4ccc(cc4CC[C@@H]3[C@H]1CCC2=O)O	LocE_ZINC000000001374_rank1.pdb	270.371	4.0203	-4.071	2	1	199.59	0.13097	37.3	-0.41823	0.55	0.10606	0.88286	0	
fnkA`@@YkdTTbRLrTrVRaNRUYtTmUUUP@TuPQBIAQR@@	c1(ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12)OC(=O)C	LocE_ZINC000000001375_rank1.pdb	312.408	4.3527	-4.667	3	0	233.25	0.15468	43.37	-0.4432	0.56522	0.18272	0.8934	2	
fbuh`DDXUkpA^gHhhhibedhdrVcMUSTuUS@@@	n1(cnc2c1c(=O)n(C)c(=O)n2C)CC[NH+](CC)CC	LocE_ZINC000000001377_rank1.pdb	280.351	-1.1826	-0.872	7	1	232.24	0.29543	62.88	2.0867	0.55	0.53672	0.85267	5	
fjmh`@AJuxHDYEDheEeLdhjhw`mPTDUMTP@@	c1(cnc2c(cnn2CC)c1NNC(C)C)C(=O)OCC	LocE_ZINC000000001379_rank1.pdb	291.354	1.7585	-2.728	7	2	234.31	0.31911	81.07	-0.16577	0.52381	0.45001	0.86221	7	
dcND@LADf^eV]Zjjj@@	C1(CCCCC1)(CC)OC(=O)N	LocE_ZINC000000001385_rank1.pdb	171.239	1.8144	-2.803	3	1	141.5	0.27074	52.32	-3.4678	0.58333	0.50237	0.53648	3	
fhq`P@K@QsrSK\kntmMPPQTp@@	c1(cc(ccc1C(=O)OC)NC(=O)C)OCC	LocE_ZINC000000001387_rank1.pdb	237.254	1.6126	-2.417	5	1	190.76	0.30164	64.63	-3.0215	0.58824	0.38974	0.70389	5	
dcLL@@STfVU~UZ``H@@	c1(ccc(cc1)O)C(=O)OCC	LocE_ZINC000000001392_rank1.pdb	166.175	1.6332	-1.761	3	1	133.38	0.27096	46.53	-5.3635	0.75	0.38713	0.54931	3	
fncQbDKQIhpHbLyEEDeEeD\hhlpVZpPQTuUUQHCHp@	c1(cc(Cl)c(c(c1O)C(=O)NC[C@@H]1CCC[N@H+]1CC)OC)CC	LocE_ZINC000000001395_rank1.pdb	341.857	0.754	-3.069	5	3	276.92	0.23541	63	0.72057	0.52174	0.53922	0.83186	6	
do|d@DkcCTfVvViZfifj@@	n1(cc(c(n1)C(=O)NC)C(=O)NC)CC	LocE_ZINC000000001400_rank1.pdb	210.236	-1.0905	-0.422	6	2	170.18	0.39276	76.02	5.8676	0.53333	0.5319	0.73536	3	
dcm@`HX@aJVUWpaVdHHh@@	N(c1nsc2ccccc12)CC	LocE_ZINC000000001401_rank1.pdb	178.258	2.3946	-2.08	2	1	140.04	0.30556	53.16	0.75354	0.66667	0.29458	0.73445	2	
dcLD@@iJ[g]xZB@i@@	c1(ccc(c(c1)OC)O)CC=C	LocE_ZINC000000001411_rank1.pdb	164.203	2.2723	-2.05	2	1	140.17	0.1648	29.46	-4.6405	0.66667	0.44484	0.652	3	
dg\D@@QIge]dYZ`@f`HV@	c1(ccc(cc1)OC(=O)C)/C(=C/C)/C	LocE_ZINC000000001421_rank1.pdb	190.241	2.9573	-2.553	2	0	162.5	0.14178	26.3	-4.0751	0.71429	0.45671	0.55303	3	
dg^L@DBmRYVuueVj@Bh@@	c1(ccc(cc1)NC(=O)CO)OCC	LocE_ZINC000000001422_rank1.pdb	195.217	0.7729	-1.769	4	2	158.6	0.30013	58.56	-0.06228	0.78571	0.50117	0.51193	4	
dcmD@LhARf^y|i]idHB@@	c1(ccccc1c1nnco1)O	LocE_ZINC000000001423_rank1.pdb	162.148	1.139	-3.049	4	1	126.58	0.38829	59.15	0.12914	0.58333	0.32509	0.67089	1	
fdyHb@FJMZTPQFQQISZYQQFgGA`BIfjd`PU@	C(=O)(Nc1cccc(Cl)c1)/N=C\1/N(C)CC(=O)N1	LocE_ZINC000000001436_rank1.pdb	266.687	1.364	-3.156	6	2	192.89	0.33211	73.8	4.831	0.61111	0.33874	0.67908	1	
dg~d@Dq]LArJJJJXiMIvuUL@@@@	Cn1c(=O)c2ncnnc2n(C)c1=O	LocE_ZINC000000001447_rank1.pdb	193.166	-0.8635	-1.211	7	0	136.66	0.48361	79.29	0.78429	0.5	0.016779	0.808	0	
dklB@@zSrJJIQPe]ZBbB@@	c1(c(cc(cc1O)O)O)C(=O)CC	LocE_ZINC000000001454_rank1.pdb	182.174	0.9481	-1.682	4	3	136.08	0.38463	77.76	-0.49138	0.61538	0.4301	0.67959	2	
fhiQR@JLIIW``dDfYu[UV\MZejfjjk@hYVP@	O=c1[nH]c(=O)n(cc1F)[C@@H]1C[C@H]([C@@H](O1)CO)O	LocE_ZINC000000001457_rank1.pdb	246.193	-1.4898	-1.503	7	3	162.54	0.47551	99.1	-3.4013	0.58824	0.43892	0.78992	2	
fa{QA@AJrBHCHYEDeMDeEMDecJ\tyMV}`BFhJ`Xhb@@	O=C1CN=C(c2cc(Cl)ccc2N1CC1CC1)c1ccccc1F	LocE_ZINC000000001481_rank1.pdb	342.8	3.8098	-5.802	3	0	246.35	0.11407	32.67	4.1704	0.45833	0.2442	0.87527	3	
fdey@@FRUYwh`rQQJEQPqHdiHw`uKMSUML@@	NC1=NC(=C2NC(=C(N)N=C2N1)c1ccco1)N	LocE_ZINC000000001499_rank1.pdb	245.245	-1.5192	-5.095	8	5	176.21	0.60076	139.98	0.72518	0.55556	0.26345	0.85304	1	
fdyQPBH^@`agPeGIMrnsLkNAbuMSTmR``J@	C(=C\c1ccc(o1)N(=O)=O)(\C(=O)N)/c1ccco1	LocE_ZINC000000001501_rank1.pdb	248.194	0.2201	-3.381	7	1	187.05	0.46485	115.19	-2.0649	0.55556	0.43671	0.73864	4	
ff}Qb@LR``P@cIIBhheehdlejqZkTCAEUUD@@	N(C(=O)NC1CCCCCCC1)S(=O)(=O)c1ccc(C)cc1	LocE_ZINC000000001516_rank1.pdb	324.444	3.8838	-4.088	5	2	250.09	0.25807	83.65	-4.3312	0.63636	0.48718	0.67019	2	
dg\`PIT{BHzHrJJIQUJLLADMLA@s~HL`	N(=C\c1c(Cl)cccc1Cl)/NC(=[NH2])N	LocE_ZINC000000001522_rank1.pdb	232.093	1.9483	-3.466	4	3	168.82	0.31696	76.43	3.8438	0.64286	0.43407	0.59188	2	
dknD@LADf^eWgVjjjh@@	C1(CCCCC1)(CCC)OC(=O)N	LocE_ZINC000000001531_rank1.pdb	185.266	2.2688	-3.073	3	1	155.26	0.24675	52.32	-5.8562	0.53846	0.54172	0.54931	4	
dk_@@@`di[VupmNVjjj`@	c1(nncn1C1CCCCC1)CC	LocE_ZINC000000001532_rank1.pdb	179.266	2.0551	-0.832	3	0	153.8	0.18732	30.71	-2.5858	0.61538	0.30447	0.58959	2	
dcLH`IBlRYeufz@`j`@@	Cc1cc(c(cc1I)C(C)C)O	LocE_ZINC000000001574_rank1.pdb	276.112	3.2819	-3.551	1	1	155.17	0.084424	20.23	-1.3248	0.58333	0.094736	0.69573	1	
dg^LbEH{BlVTfYw[fzB@jfHe@@	C(c1ccc(c(I)c1)O)[C@H]([NH3+])C(=O)O	LocE_ZINC000000001575_rank1.pdb	308.09	-2.9018	-2.261	4	3	163.98	0.3276	85.17	-2.3863	0.64286	0.56843	0.63126	3	
dcODAHHPRISlbfbbQcBuMUR@@	c1(ncc(n1C)N(=O)=O)C(C)C	LocE_ZINC000000001580_rank1.pdb	169.183	0.4589	-1.234	5	0	134.17	0.35969	63.64	-2.4002	0.58333	0.39744	0.70568	2	
fbuhA@D\DiHHb`QdTRbbVtTRNYrJXBBjjjh`@@	c1(c(Cl)nc(NC(C)C)nc1N1CCN(C)CC1)SC	LocE_ZINC000000001582_rank1.pdb	315.872	2.1889	-3.098	5	1	238.83	0.24281	69.59	7.9146	0.55	0.41868	0.7679	4	
deW@@@pldTRQeLAAT@@	N(c1ncccn1)C(C)C	LocE_ZINC000000001585_rank1.pdb	137.185	0.8785	-1.621	3	1	119.26	0.28006	37.81	0.80345	0.7	0.40509	0.55452	2	
dg^D@KALbbTRRblfuAAQ@@@	c1(ccc(cc1)N)C(=O)OCC(C)C	LocE_ZINC000000001586_rank1.pdb	193.245	1.9743	-2.563	3	1	160.31	0.23897	52.32	-1.1935	0.71429	0.47634	0.50377	4	
fdyP`@DR@KHheDiUEEDsghmTkPDQ@@@	N(C(=O)c1ccc[nH]c1=O)c1c(C)cccc1C	LocE_ZINC000000001591_rank1.pdb	242.277	1.1495	-2.889	4	2	193.91	0.25269	58.2	2.8585	0.55556	0.44578	0.68745	2	
deVHBJBiRYyTYZjjhJ@@	[C@H]1(CCCC[NH2+]1)CC(=O)C	LocE_ZINC000000001592_rank1.pdb	142.221	0.6639	-1.695	2	1	119.05	0.17455	33.68	-5.5375	0.7	0.55923	0.6271	2	
f`ii@@FBu[pDigvVUqPug^if`HJa@@	N(c1ncnc2nc[nH]c12)Cc1occc1	LocE_ZINC000000001601_rank1.pdb	215.215	0.5841	-3.258	6	2	168.38	0.4304	79.63	0.62438	0.5625	0.38511	0.72942	3	
fjca@D@`CNQQISJQIIHyTYHs`~c@AUUUUITSdeCHJ@@	[N@@H+]1(CC[C@]23CCCC[C@@H]2[C@H]1Cc1ccc(cc31)O)CC=C	LocE_ZINC000000001609_rank1.pdb	284.421	1.4662	-3.711	2	2	233.48	0.13145	24.67	-9.1356	0.52381	0.2435	0.92462	2	
fns``DJ@eRTiU]VYeUzLSTkZjjj`@@BBEH@	C(c1ccccc1)(c1ccccc1)OCC[N@@H+]1CCCOCC1	LocE_ZINC000000001620_rank1.pdb	312.431	1.1071	-2.648	3	1	272.68	0.13785	22.9	-5.2375	0.52174	0.50692	0.60067	6	
fnc@r@AF]yMPQFQQISQIQJIJjTxjt@AAQMUL@@@	c1(c(c(c2cc(Cl)ccc2c1OC(=O)C)OC(=O)C)OC)OC	LocE_ZINC000000001630_rank1.pdb	338.742	3.2934	-4.594	6	0	247.82	0.26665	71.06	-1.7045	0.43478	0.3483	0.90999	6	
ffcHB@DDxXDPdrnrnjrmFZLVl@EUUL@A@HN`	N1(CCN(CC1)C/C=C/c1ccccc1)c1ccc(Cl)nn1	LocE_ZINC000000001634_rank1.pdb	314.819	2.8423	-2.839	4	0	248.36	0.11693	32.26	6.2027	0.72727	0.47573	0.64597	4	
fb}pB@ARtBHRYWYUYWhqVgASf@BZfiZJP@@	C1(=NC2=C3CC=CC=C3C=CN2N1)c1ccc(Cl)cc1	LocE_ZINC000000001637_rank1.pdb	281.745	2.1118	-5.311	3	1	207.3	0.12793	27.63	1.7707	0.6	0.31204	0.86391	1	
dg]H`AuPbLbbRaRfUM@ATu@@@	N(C(=O)NCc1cccc(Cl)c1)CC	LocE_ZINC000000001640_rank1.pdb	212.679	1.814	-2.989	3	2	169.13	0.21262	41.13	1.7255	0.71429	0.65924	0.54695	3	
ffc@p@@Fm{M\dTTTRbTrRlkAR]DmAQ@TPTTBDQd@@	[C@H]1(Cc2c(cc(cc2O[C@H]1c1ccc(c(c1)O)O)O)O)OC	LocE_ZINC000000001654_rank1.pdb	304.297	1.9366	-1.892	6	4	215.94	0.33528	99.38	-0.1356	0.5	0.28764	0.83807	2	
fluQB@BFTBHrJJIQZJFEIdcNbfBBaf@@`@@	Cc1nc2ccccc2c(=O)n1c1ccccc1Cl	LocE_ZINC000000001656_rank1.pdb	270.718	3.1431	-4.254	3	0	198.22	0.14176	32.67	2.0258	0.52632	0.28276	0.84206	1	
f`qQB@G^`@HRkfUWvQmVZ@@@J@@@	S(=O)(c1ccc(cc1)N)c1ccc(cc1)N	LocE_ZINC000000001658_rank1.pdb	232.306	1.008	-3.5	3	2	172.78	0.30825	88.32	-1.8939	0.6875	0.41019	0.51585	2	
flyPaDL^bdDQjH}NQIQQIIEJZJMUPPQULP]@@	c1(ccc(cc1)N(CCCl)CCCl)C[C@@H]([NH3+])C(=O)O	LocE_ZINC000000001661_rank1.pdb	306.212	-1.8256	-2.979	4	2	227.53	0.19413	68.18	1.3797	0.63158	0.70708	0.63466	8	
fluQB@NFTBHrJIKJJJZEJcCNbf@Bif@@`@@	Cc1nc2ccccc2c(=O)n1c1ccc(Cl)cc1	LocE_ZINC000000001679_rank1.pdb	270.718	3.1431	-4.254	3	0	198.22	0.14176	32.67	2.0258	0.57895	0.31038	0.82225	1	
difDAJCjgnRVUfF`B@@@	[O-][n+]1cccc(c1)CO	LocE_ZINC000000001683_rank1.pdb	125.127	-0.4141	-3.089	3	1	95.42	0.28673	45.69	-3.6802	0.66667	0.38126	0.72259	1	
dmvD@DBTf^UaUj@H@@	c1(cccc(c1)O)NC(=O)C	LocE_ZINC000000001691_rank1.pdb	151.164	1.0176	-1.662	3	2	121.08	0.31054	49.33	0.44887	0.63636	0.40705	0.61821	1	
dclD@@GHhhhhjpkkPM@P@@	Cc1coc2ccccc2c1=O	LocE_ZINC000000001707_rank1.pdb	160.172	1.8493	-2.782	2	0	124.48	0.18509	26.3	-0.5121	0.58333	0.087607	0.74997	0	
